Geo_Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.920785968142226, 2.4105986164694255;"{""coordinates"": [2.410598616469426, 48.920785968142226], ""type"": ""Point""}";411;La Courneuve 8 Mai 1945;La Courneuve 8 Mai 1945;;;73696;La Courneuve - 8 Mai 1945;470546;La Courneuve - 8 Mai 1945;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1;0;656807.0913;6869138.86;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;La Courneuve 8 Mai 1945
48.819051513730514, 2.360129742015262;"{""coordinates"": [2.360129742015262, 48.819051513730514], ""type"": ""Point""}";991;Porte d'Italie;Porte d'Italie;;;70596;Porte d'Italie;473456;Porte d'Italie;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01193;C01391;TRAM 3a;3A;TRAM 3a;RATP;1;0;653017.0055;6857855.518;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;Porte d'Italie
48.93021421136611, 2.283722557328397;"{""coordinates"": [2.283722557328397, 48.93021421136611], ""type"": ""Point""}";1083;Les Courtilles;Les Courtilles;;;72286;Asnières - Gennevilliers Les Courtilles;42231;Asnières - Gennevilliers Les Courtilles;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1;0;647519.0174;6870264.128;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Les Courtilles
48.787280349128174, 2.366988444947912;"{""coordinates"": [2.366988444947912, 48.787280349128174], ""type"": ""Point""}";1142;Villejuif-Louis Aragon;Villejuif-Louis Aragon;;;70143;Villejuif Louis Aragon;45049;Villejuif Louis Aragon;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;TRAM 7;0;0;A02134;C01774;TRAM 7;7;TRAM 7;RATP;1;0;653492.2811;6854318.946;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0;Villejuif-Louis Aragon
48.8980414494171, 2.3450784496454857;"{""coordinates"": [2.345078449645486, 48.8980414494171], ""type"": ""Point""}";1209;Porte de Clignancourt;Porte de Clignancourt;;;478883;Porte de Clignancourt;44515;Porte de Clignancourt;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;TRAM 3b;3B;TRAM 3b;RATP;1;0;651984.7258;6866647.58;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;Porte de Clignancourt
48.82990660894109, 2.376666221325517;"{""coordinates"": [2.376666221325517, 48.82990660894109], ""type"": ""Point""}";72;Bibliothèque François Mitterrand;Bibliothèque François Mitterrand;;;71572;Bibliothèque François Mitterrand Emile Durkheim;473111;Bibliothèque François Mitterrand;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;C01384;METRO 14;14;METRO 14;RATP;1;0;654240.7124;6859052.766;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Bibliothèque François Mitterrand
48.84038874717503, 2.3799112714543984;"{""coordinates"": [2.379911271454398, 48.84038874717503], ""type"": ""Point""}";67;Bercy;Bercy;;;71607;Gare de Bercy;58728;Bercy;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;C01376;METRO 6;6;METRO 6;RATP;1;0;654488.0813;6860216.394;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Bercy
48.845868977765356, 2.3737744225638346;"{""coordinates"": [2.373774422563835, 48.845868977765356], ""type"": ""Point""}";962;Gare de Lyon;Gare de Lyon;;;73626;Gare de Lyon;43153;Gare de Lyon;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;C01371;METRO 1;1;METRO 1;RATP;1;1;654042.5043;6860829.296;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;Gare de Lyon
48.80335523612997, 2.4455741010301444;"{""coordinates"": [2.445574101030144, 48.80335523612997], ""type"": ""Point""}";499;Maisons-Alfort-Les Juilliottes;Maisons-Alfort-Les Juilliottes;;;70358;Maisons-Alfort Les Juilliottes;44067;Maisons-Alfort Les Juilliottes;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;C01378;METRO 8;8;METRO 8;RATP;1;0;659278.4619;6856062.839;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Maisons-Alfort-Les Juilliottes
48.825920546050554, 2.3133800873660433;"{""coordinates"": [2.313380087366043, 48.825920546050554], ""type"": ""Point""}";984;Didot;Didot;;;70983;Didot;42847;Didot;0;TRAMWAY;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01193;C01391;TRAM 3a;3A;TRAM 3a;RATP;1;0;649591.099;6858648.101;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;Didot
